"","name","landmass","zone","area","population","language","religion","bars","stripes","colours","red","green","blue","gold","white","black","orange","mainhue","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","topleft","botright"
"1","Afghanistan",5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,"green",0,0,0,0,1,0,0,1,0,0,"black","green"
"2","Albania",3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,"red",0,0,0,0,1,0,0,0,1,0,"red","red"
"3","Algeria",4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,"green",0,0,0,0,1,1,0,0,0,0,"green","white"
"4","American-Samoa",6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,"blue",0,0,0,0,0,0,1,1,1,0,"blue","red"
"5","Andorra",3,1,0,0,6,0,3,0,3,1,0,1,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"blue","red"
"6","Angola",4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,"red",0,0,0,0,1,0,0,1,0,0,"red","black"
"7","Anguilla",1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,"white",0,0,0,0,0,0,0,0,1,0,"white","blue"
"8","Antigua-Barbuda",1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,"red",0,0,0,0,1,0,1,0,0,0,"black","red"
"9","Argentina",2,3,2777,28,2,0,0,3,2,0,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
"10","Argentine",2,3,2777,28,2,0,0,3,3,0,0,1,1,1,0,0,"blue",0,0,0,0,1,0,0,0,0,0,"blue","blue"
"11","Australia",6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,"blue",0,1,1,1,6,0,0,0,0,0,"white","blue"
"12","Austria",3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","red"
"13","Bahamas",1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,"blue",0,0,0,0,0,0,1,0,0,0,"blue","blue"
"14","Bahrain",5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"white","red"
"15","Bangladesh",5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,"green",1,0,0,0,0,0,0,0,0,0,"green","green"
"16","Barbados",1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,"blue",0,0,0,0,0,0,0,1,0,0,"blue","blue"
"17","Belgium",3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,"gold",0,0,0,0,0,0,0,0,0,0,"black","red"
"18","Belize",1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,"blue",1,0,0,0,0,0,0,1,1,1,"red","red"
"19","Benin",4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,"green",0,0,0,0,1,0,0,0,0,0,"green","green"
"20","Bermuda",1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,"red",1,1,1,1,0,0,0,1,1,0,"white","red"
"21","Bhutan",5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,"orange",4,0,0,0,0,0,0,0,1,0,"orange","red"
"22","Bolivia",2,3,1099,6,2,0,0,3,3,1,1,0,1,0,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green"
"23","Botswana",4,2,600,1,10,5,0,5,3,0,0,1,0,1,1,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
"24","Brazil",2,3,8512,119,6,0,0,0,4,0,1,1,1,1,0,0,"green",1,0,0,0,22,0,0,0,0,1,"green","green"
"25","British-Virgin-Isles",1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,"blue",0,1,1,1,0,0,0,1,1,1,"white","blue"
"26","Brunei",5,1,6,0,10,2,0,0,4,1,0,0,1,1,1,0,"gold",0,0,0,0,0,0,1,1,1,1,"white","gold"
"27","Bulgaria",3,1,111,9,5,6,0,3,5,1,1,1,1,1,0,0,"red",0,0,0,0,1,0,0,1,1,0,"white","red"
"28","Burkina",4,4,274,7,3,5,0,2,3,1,1,0,1,0,0,0,"red",0,0,0,0,1,0,0,0,0,0,"red","green"
"29","Burma",5,1,678,35,10,3,0,0,3,1,0,1,0,1,0,0,"red",0,0,0,1,14,0,0,1,1,0,"blue","red"
"30","Burundi",4,2,28,4,10,5,0,0,3,1,1,0,0,1,0,0,"red",1,0,1,0,3,0,0,0,0,0,"white","white"
"31","Cameroon",4,1,474,8,3,1,3,0,3,1,1,0,1,0,0,0,"gold",0,0,0,0,1,0,0,0,0,0,"green","gold"
"32","Canada",1,4,9976,24,1,1,2,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,1,0,"red","red"
"33","Cape-Verde-Islands",4,4,4,0,6,0,1,2,5,1,1,0,1,0,1,1,"gold",0,0,0,0,1,0,0,0,1,0,"red","green"
"34","Cayman-Islands",1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,"blue",1,1,1,1,4,0,0,1,1,1,"white","blue"
"35","Central-African-Republic",4,1,623,2,10,5,1,0,5,1,1,1,1,1,0,0,"gold",0,0,0,0,1,0,0,0,0,0,"blue","gold"
"36","Chad",4,1,1284,4,3,5,3,0,3,1,0,1,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"blue","red"
"37","Chile",2,3,757,11,2,0,0,2,3,1,0,1,0,1,0,0,"red",0,0,0,1,1,0,0,0,0,0,"blue","red"
"38","China",5,1,9561,1008,7,6,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,5,0,0,0,0,0,"red","red"
"39","Colombia",2,4,1139,28,2,0,0,3,3,1,0,1,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"gold","red"
"40","Comorro-Islands",4,2,2,0,3,2,0,0,2,0,1,0,0,1,0,0,"green",0,0,0,0,4,1,0,0,0,0,"green","green"
"41","Congo",4,2,342,2,10,5,0,0,3,1,1,0,1,0,0,0,"red",0,0,0,0,1,0,0,1,1,0,"red","red"
"42","Cook-Islands",6,3,0,0,1,1,0,0,4,1,0,1,0,1,0,0,"blue",1,1,1,1,15,0,0,0,0,0,"white","blue"
"43","Costa-Rica",1,4,51,2,2,0,0,5,3,1,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
"44","Cuba",1,4,115,10,2,6,0,5,3,1,0,1,0,1,0,0,"blue",0,0,0,0,1,0,1,0,0,0,"blue","blue"
"45","Cyprus",3,1,9,1,6,1,0,0,3,0,1,0,1,1,0,0,"white",0,0,0,0,0,0,0,1,1,0,"white","white"
"46","Czechoslovakia",3,1,128,15,5,6,0,0,3,1,0,1,0,1,0,0,"white",0,0,0,0,0,0,1,0,0,0,"white","red"
"47","Denmark",3,1,43,5,6,1,0,0,2,1,0,0,0,1,0,0,"red",0,1,0,0,0,0,0,0,0,0,"red","red"
"48","Djibouti",4,1,22,0,3,2,0,0,4,1,1,1,0,1,0,0,"blue",0,0,0,0,1,0,1,0,0,0,"white","green"
"49","Dominica",1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,"green",1,0,0,0,10,0,0,0,1,0,"green","green"
"50","Dominican-Republic",1,4,49,6,2,0,0,0,3,1,0,1,0,1,0,0,"blue",0,1,0,0,0,0,0,0,0,0,"blue","blue"
"51","Ecuador",2,3,284,8,2,0,0,3,3,1,0,1,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"gold","red"
"52","Egypt",4,1,1001,47,8,2,0,3,4,1,0,0,1,1,1,0,"black",0,0,0,0,0,0,0,0,1,1,"red","black"
"53","El-Salvador",1,4,21,5,2,0,0,3,2,0,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
"54","Equatorial-Guinea",4,1,28,0,10,5,0,3,4,1,1,1,0,1,0,0,"green",0,0,0,0,0,0,1,0,0,0,"green","red"
"55","Ethiopia",4,1,1222,31,10,1,0,3,3,1,1,0,1,0,0,0,"green",0,0,0,0,0,0,0,0,0,0,"green","red"
"56","Faeroes",3,4,1,0,6,1,0,0,3,1,0,1,0,1,0,0,"white",0,1,0,0,0,0,0,0,0,0,"white","white"
"57","Falklands-Malvinas",2,3,12,0,1,1,0,0,6,1,1,1,1,1,0,0,"blue",1,1,1,1,0,0,0,1,1,1,"white","blue"
"58","Fiji",6,2,18,1,1,1,0,0,7,1,1,1,1,1,0,1,"blue",0,2,1,1,0,0,0,1,1,0,"white","blue"
"59","Finland",3,1,337,5,9,1,0,0,2,0,0,1,0,1,0,0,"white",0,1,0,0,0,0,0,0,0,0,"white","white"
"60","France",3,1,547,54,3,0,3,0,3,1,0,1,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"blue","red"
"61","French-Guiana",2,4,91,0,3,0,3,0,3,1,0,1,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"blue","red"
"62","French-Polynesia",6,3,4,0,3,0,0,3,5,1,0,1,1,1,1,0,"red",1,0,0,0,1,0,0,1,0,0,"red","red"
"63","Gabon",4,2,268,1,10,5,0,3,3,0,1,1,1,0,0,0,"green",0,0,0,0,0,0,0,0,0,0,"green","blue"
"64","Gambia",4,4,10,1,1,5,0,5,4,1,1,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green"
"65","Germany-DDR",3,1,108,17,4,6,0,3,3,1,0,0,1,0,1,0,"gold",0,0,0,0,0,0,0,1,0,0,"black","gold"
"66","Germany-FRG",3,1,249,61,4,1,0,3,3,1,0,0,1,0,1,0,"black",0,0,0,0,0,0,0,0,0,0,"black","gold"
"67","Ghana",4,4,239,14,1,5,0,3,4,1,1,0,1,0,1,0,"red",0,0,0,0,1,0,0,0,0,0,"red","green"
"68","Gibraltar",3,4,0,0,1,1,0,1,3,1,0,0,1,1,0,0,"white",0,0,0,0,0,0,0,1,0,0,"white","red"
"69","Greece",3,1,132,10,6,1,0,9,2,0,0,1,0,1,0,0,"blue",0,1,0,1,0,0,0,0,0,0,"blue","blue"
"70","Greenland",1,4,2176,0,6,1,0,0,2,1,0,0,0,1,0,0,"white",1,0,0,0,0,0,0,0,0,0,"white","red"
"71","Grenada",1,4,0,0,1,1,0,0,3,1,1,0,1,0,0,0,"gold",1,0,0,0,7,0,1,0,1,0,"red","red"
"72","Guam",6,1,0,0,1,1,0,0,7,1,1,1,1,1,0,1,"blue",0,0,0,0,0,0,0,1,1,1,"red","red"
"73","Guatemala",1,4,109,8,2,0,3,0,2,0,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
"74","Guinea",4,4,246,6,3,2,3,0,3,1,1,0,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"red","green"
"75","Guinea-Bissau",4,4,36,1,6,5,1,2,4,1,1,0,1,0,1,0,"gold",0,0,0,0,1,0,0,0,0,0,"red","green"
"76","Guyana",2,4,215,1,1,4,0,0,5,1,1,0,1,1,1,0,"green",0,0,0,0,0,0,1,0,0,0,"black","green"
"77","Haiti",1,4,28,6,3,0,2,0,2,1,0,0,0,0,1,0,"black",0,0,0,0,0,0,0,0,0,0,"black","red"
"78","Honduras",1,4,112,4,2,0,0,3,2,0,0,1,0,1,0,0,"blue",0,0,0,0,5,0,0,0,0,0,"blue","blue"
"79","Hong-Kong",5,1,1,5,7,3,0,0,6,1,1,1,1,1,0,1,"blue",1,1,1,1,0,0,0,1,1,1,"white","blue"
"80","Hungary",3,1,93,11,9,6,0,3,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green"
"81","Iceland",3,4,103,0,6,1,0,0,3,1,0,1,0,1,0,0,"blue",0,1,0,0,0,0,0,0,0,0,"blue","blue"
"82","India",5,1,3268,684,6,4,0,3,4,0,1,1,0,1,0,1,"orange",1,0,0,0,0,0,0,1,0,0,"orange","green"
"83","Indonesia",6,2,1904,157,10,2,0,2,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","white"
"84","Iran",5,1,1648,39,6,2,0,3,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,1,0,1,"green","red"
"85","Iraq",5,1,435,14,8,2,0,3,4,1,1,0,0,1,1,0,"red",0,0,0,0,3,0,0,0,0,0,"red","black"
"86","Ireland",3,4,70,3,1,0,3,0,3,0,1,0,0,1,0,1,"white",0,0,0,0,0,0,0,0,0,0,"green","orange"
"87","Israel",5,1,21,4,10,7,0,2,2,0,0,1,0,1,0,0,"white",0,0,0,0,1,0,0,0,0,0,"blue","blue"
"88","Italy",3,1,301,57,6,0,3,0,3,1,1,0,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"green","red"
"89","Ivory-Coast",4,4,323,7,3,5,3,0,3,1,1,0,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"red","green"
"90","Jamaica",1,4,11,2,1,1,0,0,3,0,1,0,1,0,1,0,"green",0,0,1,0,0,0,1,0,0,0,"gold","gold"
"91","Japan",5,1,372,118,9,7,0,0,2,1,0,0,0,1,0,0,"white",1,0,0,0,1,0,0,0,0,0,"white","white"
"92","Jordan",5,1,98,2,8,2,0,3,4,1,1,0,0,1,1,0,"black",0,0,0,0,1,0,1,0,0,0,"black","green"
"93","Kampuchea",5,1,181,6,10,3,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,0,0,0,1,0,0,"red","red"
"94","Kenya",4,1,583,17,10,5,0,5,4,1,1,0,0,1,1,0,"red",1,0,0,0,0,0,0,1,0,0,"black","green"
"95","Kiribati",6,1,0,0,1,1,0,0,4,1,0,1,1,1,0,0,"red",0,0,0,0,1,0,0,1,1,0,"red","blue"
"96","Kuwait",5,1,18,2,8,2,0,3,4,1,1,0,0,1,1,0,"green",0,0,0,0,0,0,0,0,0,0,"green","red"
"97","Laos",5,1,236,3,10,6,0,3,3,1,0,1,0,1,0,0,"red",1,0,0,0,0,0,0,0,0,0,"red","red"
"98","Lebanon",5,1,10,3,8,2,0,2,4,1,1,0,0,1,0,1,"red",0,0,0,0,0,0,0,0,1,0,"red","red"
"99","Lesotho",4,2,30,1,10,5,2,0,4,1,1,1,0,1,0,0,"blue",0,0,0,0,0,0,0,1,0,0,"green","blue"
"100","Liberia",4,4,111,1,10,5,0,11,3,1,0,1,0,1,0,0,"red",0,0,0,1,1,0,0,0,0,0,"blue","red"
"101","Libya",4,1,1760,3,8,2,0,0,1,0,1,0,0,0,0,0,"green",0,0,0,0,0,0,0,0,0,0,"green","green"
"102","Liechtenstein",3,1,0,0,4,0,0,2,3,1,0,1,1,0,0,0,"red",0,0,0,0,0,0,0,1,0,0,"blue","red"
"103","Luxembourg",3,1,3,0,4,0,0,3,3,1,0,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","blue"
"104","Malagasy",4,2,587,9,10,1,1,2,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"white","green"
"105","Malawi",4,2,118,6,10,5,0,3,3,1,1,0,0,0,1,0,"red",0,0,0,0,1,0,0,0,0,0,"black","green"
"106","Malaysia",5,1,333,13,10,2,0,14,4,1,0,1,1,1,0,0,"red",0,0,0,1,1,1,0,0,0,0,"blue","white"
"107","Maldive-Islands",5,1,0,0,10,2,0,0,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,1,0,0,0,0,"red","red"
"108","Mali",4,4,1240,7,3,2,3,0,3,1,1,0,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"green","red"
"109","Malta",3,1,0,0,10,0,2,0,3,1,0,0,0,1,1,0,"red",0,1,0,0,0,0,0,1,0,0,"white","red"
"110","Marianas",6,1,0,0,10,1,0,0,3,0,0,1,0,1,0,0,"blue",0,0,0,0,1,0,0,1,0,0,"blue","blue"
"111","Mauritania",4,4,1031,2,8,2,0,0,2,0,1,0,1,0,0,0,"green",0,0,0,0,1,1,0,0,0,0,"green","green"
"112","Mauritius",4,2,2,1,1,4,0,4,4,1,1,1,1,0,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green"
"113","Mexico",1,4,1973,77,2,0,3,0,4,1,1,0,0,1,0,1,"green",0,0,0,0,0,0,0,0,1,0,"green","red"
"114","Micronesia",6,1,1,0,10,1,0,0,2,0,0,1,0,1,0,0,"blue",0,0,0,0,4,0,0,0,0,0,"blue","blue"
"115","Monaco",3,1,0,0,3,0,0,2,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","white"
"116","Mongolia",5,1,1566,2,10,6,3,0,3,1,0,1,1,0,0,0,"red",2,0,0,0,1,1,1,1,0,0,"red","red"
"117","Montserrat",1,4,0,0,1,1,0,0,7,1,1,1,1,1,1,0,"blue",0,2,1,1,0,0,0,1,1,0,"white","blue"
"118","Morocco",4,4,447,20,8,2,0,0,2,1,1,0,0,0,0,0,"red",0,0,0,0,1,0,0,0,0,0,"red","red"
"119","Mozambique",4,2,783,12,10,5,0,5,5,1,1,0,1,1,1,0,"gold",0,0,0,0,1,0,1,1,0,0,"green","gold"
"120","Nauru",6,2,0,0,10,1,0,3,3,0,0,1,1,1,0,0,"blue",0,0,0,0,1,0,0,0,0,0,"blue","blue"
"121","Nepal",5,1,140,16,10,4,0,0,3,0,0,1,0,1,0,1,"brown",0,0,0,0,2,1,0,0,0,0,"blue","blue"
"122","Netherlands",3,1,41,14,6,1,0,3,3,1,0,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","blue"
"123","Netherlands-Antilles",1,4,0,0,6,1,0,1,3,1,0,1,0,1,0,0,"white",0,0,0,0,6,0,0,0,0,0,"white","white"
"124","New-Zealand",6,2,268,2,1,1,0,0,3,1,0,1,0,1,0,0,"blue",0,1,1,1,4,0,0,0,0,0,"white","blue"
"125","Nicaragua",1,4,128,3,2,0,0,3,2,0,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue"
"126","Niger",4,1,1267,5,3,2,0,3,3,0,1,0,0,1,0,1,"orange",1,0,0,0,0,0,0,0,0,0,"orange","green"
"127","Nigeria",4,1,925,56,10,2,3,0,2,0,1,0,0,1,0,0,"green",0,0,0,0,0,0,0,0,0,0,"green","green"
"128","Niue",6,3,0,0,1,1,0,0,4,1,0,1,1,1,0,0,"gold",1,1,1,1,5,0,0,0,0,0,"white","gold"
"129","North-Korea",5,1,121,18,10,6,0,5,3,1,0,1,0,1,0,0,"blue",1,0,0,0,1,0,0,0,0,0,"blue","blue"
"130","North-Yemen",5,1,195,9,8,2,0,3,4,1,1,0,0,1,1,0,"red",0,0,0,0,1,0,0,0,0,0,"red","black"
"131","Norway",3,1,324,4,6,1,0,0,3,1,0,1,0,1,0,0,"red",0,1,0,0,0,0,0,0,0,0,"red","red"
"132","Oman",5,1,212,1,8,2,0,2,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,1,0,0,"red","green"
"133","Pakistan",5,1,804,84,6,2,1,0,2,0,1,0,0,1,0,0,"green",0,0,0,0,1,1,0,0,0,0,"white","green"
"134","Panama",2,4,76,2,2,0,0,0,3,1,0,1,0,1,0,0,"red",0,0,0,4,2,0,0,0,0,0,"white","white"
"135","Papua-New-Guinea",6,2,463,3,1,5,0,0,4,1,0,0,1,1,1,0,"black",0,0,0,0,5,0,1,0,1,0,"red","black"
"136","Parguay",2,3,407,3,2,0,0,3,6,1,1,1,1,1,1,0,"red",1,0,0,0,1,0,0,1,1,1,"red","blue"
"137","Peru",2,3,1285,14,2,0,3,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","red"
"138","Philippines",6,1,300,48,10,0,0,0,4,1,0,1,1,1,0,0,"blue",0,0,0,0,4,0,1,0,0,0,"blue","red"
"139","Poland",3,1,313,36,5,6,0,2,2,1,0,0,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"white","red"
"140","Portugal",3,4,92,10,6,0,0,0,5,1,1,1,1,1,0,0,"red",1,0,0,0,0,0,0,1,0,0,"green","red"
"141","Puerto-Rico",1,4,9,3,2,0,0,5,3,1,0,1,0,1,0,0,"red",0,0,0,0,1,0,1,0,0,0,"red","red"
"142","Qatar",5,1,11,0,8,2,0,0,2,0,0,0,0,1,0,1,"brown",0,0,0,0,0,0,0,0,0,0,"white","brown"
"143","Romania",3,1,237,22,6,6,3,0,7,1,1,1,1,1,0,1,"red",0,0,0,0,2,0,0,1,1,1,"blue","red"
"144","Rwanda",4,2,26,5,10,5,3,0,4,1,1,0,1,0,1,0,"red",0,0,0,0,0,0,0,0,0,1,"red","green"
"145","San-Marino",3,1,0,0,6,0,0,2,2,0,0,1,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"white","blue"
"146","Sao-Tome",4,1,0,0,6,0,0,3,4,1,1,0,1,0,1,0,"green",0,0,0,0,2,0,1,0,0,0,"green","green"
"147","Saudi-Arabia",5,1,2150,9,8,2,0,0,2,0,1,0,0,1,0,0,"green",0,0,0,0,0,0,0,1,0,1,"green","green"
"148","Senegal",4,4,196,6,3,2,3,0,3,1,1,0,1,0,0,0,"green",0,0,0,0,1,0,0,0,0,0,"green","red"
"149","Seychelles",4,2,0,0,1,1,0,0,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green"
"150","Sierra-Leone",4,4,72,3,1,5,0,3,3,0,1,1,0,1,0,0,"green",0,0,0,0,0,0,0,0,0,0,"green","blue"
"151","Singapore",5,1,1,3,7,3,0,2,2,1,0,0,0,1,0,0,"white",0,0,0,0,5,1,0,0,0,0,"red","white"
"152","Soloman-Islands",6,2,30,0,1,1,0,0,4,0,1,1,1,1,0,0,"green",0,0,0,0,5,0,1,0,0,0,"blue","green"
"153","Somalia",4,1,637,5,10,2,0,0,2,0,0,1,0,1,0,0,"blue",0,0,0,0,1,0,0,0,0,0,"blue","blue"
"154","South-Africa",4,2,1221,29,6,1,0,3,5,1,1,1,0,1,0,1,"orange",0,1,1,0,0,0,0,0,0,0,"orange","blue"
"155","South-Korea",5,1,99,39,10,7,0,0,4,1,0,1,0,1,1,0,"white",1,0,0,0,0,0,0,1,0,0,"white","white"
"156","South-Yemen",5,1,288,2,8,2,0,3,4,1,0,1,0,1,1,0,"red",0,0,0,0,1,0,1,0,0,0,"red","black"
"157","Spain",3,4,505,38,2,0,0,3,2,1,0,0,1,0,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","red"
"158","Sri-Lanka",5,1,66,15,10,3,2,0,4,0,1,0,1,0,0,1,"gold",0,0,0,0,0,0,0,1,1,0,"gold","gold"
"159","St-Helena",4,3,0,0,1,1,0,0,7,1,1,1,1,1,0,1,"blue",0,1,1,1,0,0,0,1,0,0,"white","blue"
"160","St-Kitts-Nevis",1,4,0,0,1,1,0,0,5,1,1,0,1,1,1,0,"green",0,0,0,0,2,0,1,0,0,0,"green","red"
"161","St-Lucia",1,4,0,0,1,1,0,0,4,0,0,1,1,1,1,0,"blue",0,0,0,0,0,0,1,0,0,0,"blue","blue"
"162","St-Vincent",1,4,0,0,1,1,5,0,4,0,1,1,1,1,0,0,"green",0,0,0,0,0,0,0,1,1,1,"blue","green"
"163","Sudan",4,1,2506,20,8,2,0,3,4,1,1,0,0,1,1,0,"red",0,0,0,0,0,0,1,0,0,0,"red","black"
"164","Surinam",2,4,63,0,6,1,0,5,4,1,1,0,1,1,0,0,"red",0,0,0,0,1,0,0,0,0,0,"green","green"
"165","Swaziland",4,2,17,1,10,1,0,5,7,1,0,1,1,1,1,1,"blue",0,0,0,0,0,0,0,1,0,0,"blue","blue"
"166","Sweden",3,1,450,8,6,1,0,0,2,0,0,1,1,0,0,0,"blue",0,1,0,0,0,0,0,0,0,0,"blue","blue"
"167","Switzerland",3,1,41,6,4,1,0,0,2,1,0,0,0,1,0,0,"red",0,1,0,0,0,0,0,0,0,0,"red","red"
"168","Syria",5,1,185,10,8,2,0,3,4,1,1,0,0,1,1,0,"red",0,0,0,0,2,0,0,0,0,0,"red","black"
"169","Taiwan",5,1,36,18,7,3,0,0,3,1,0,1,0,1,0,0,"red",1,0,0,1,1,0,0,0,0,0,"blue","red"
"170","Tanzania",4,2,945,18,10,5,0,0,4,0,1,1,1,0,1,0,"green",0,0,0,0,0,0,1,0,0,0,"green","blue"
"171","Thailand",5,1,514,49,10,3,0,5,3,1,0,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","red"
"172","Togo",4,1,57,2,3,7,0,5,4,1,1,0,1,1,0,0,"green",0,0,0,1,1,0,0,0,0,0,"red","green"
"173","Tonga",6,2,1,0,10,1,0,0,2,1,0,0,0,1,0,0,"red",0,1,0,1,0,0,0,0,0,0,"white","red"
"174","Trinidad-Tobago",2,4,5,1,1,1,0,0,3,1,0,0,0,1,1,0,"red",0,0,0,0,0,0,1,0,0,0,"white","white"
"175","Tunisia",4,1,164,7,8,2,0,0,2,1,0,0,0,1,0,0,"red",1,0,0,0,1,1,0,0,0,0,"red","red"
"176","Turkey",5,1,781,45,9,2,0,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,1,1,0,0,0,0,"red","red"
"177","Turks-Cocos-Islands",1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,"blue",0,1,1,1,0,0,0,1,1,0,"white","blue"
"178","Tuvalu",6,2,0,0,1,1,0,0,5,1,0,1,1,1,0,0,"blue",0,1,1,1,9,0,0,0,0,0,"white","blue"
"179","UAE",5,1,84,1,8,2,1,3,4,1,1,0,0,1,1,0,"green",0,0,0,0,0,0,0,0,0,0,"red","black"
"180","Uganda",4,1,236,13,10,5,0,6,5,1,0,0,1,1,1,0,"gold",1,0,0,0,0,0,0,0,1,0,"black","red"
"181","UK",3,4,245,56,1,1,0,0,3,1,0,1,0,1,0,0,"red",0,1,1,0,0,0,0,0,0,0,"white","red"
"182","Uruguay",2,3,178,3,2,0,0,9,3,0,0,1,1,1,0,0,"white",0,0,0,1,1,0,0,0,0,0,"white","white"
"183","US-Virgin-Isles",1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,0,"white",0,0,0,0,0,0,0,1,1,1,"white","white"
"184","USA",1,4,9363,231,1,1,0,13,3,1,0,1,0,1,0,0,"white",0,0,0,1,50,0,0,0,0,0,"blue","red"
"185","USSR",5,1,22402,274,5,6,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,1,0,0,1,0,0,"red","red"
"186","Vanuatu",6,2,15,0,6,1,0,0,4,1,1,0,1,0,1,0,"red",0,0,0,0,0,0,1,0,1,0,"black","green"
"187","Vatican-City",3,1,0,0,6,0,2,0,4,1,0,0,1,1,1,0,"gold",0,0,0,0,0,0,0,1,0,0,"gold","white"
"188","Venezuela",2,4,912,15,2,0,0,3,7,1,1,1,1,1,1,1,"red",0,0,0,0,7,0,0,1,1,0,"gold","red"
"189","Vietnam",5,1,333,60,10,6,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,1,0,0,0,0,0,"red","red"
"190","Western-Samoa",6,3,3,0,1,1,0,0,3,1,0,1,0,1,0,0,"red",0,0,0,1,5,0,0,0,0,0,"blue","red"
"191","Yugoslavia",3,1,256,22,6,6,0,3,4,1,0,1,1,1,0,0,"red",0,0,0,0,1,0,0,0,0,0,"blue","red"
"192","Zaire",4,2,905,28,10,5,0,0,4,1,1,0,1,0,0,1,"green",1,0,0,0,0,0,0,1,1,0,"green","green"
"193","Zambia",4,2,753,6,10,5,3,0,4,1,1,0,0,0,1,1,"green",0,0,0,0,0,0,0,0,1,0,"green","brown"
"194","Zimbabwe",4,2,391,8,10,5,0,7,5,1,1,0,1,1,1,0,"green",0,0,0,0,1,0,1,1,1,0,"green","green"
